Slot,NSR
1,1354.3
2,1354.3
3,1354.3
4,1354.3
5,1354.3
6,1354.3
7,1354.3
8,1354.3
9,1354.3
10,1354.3
11,1354.3
12,1354.3
13,1354.3
14,1354.3
15,1354.3
16,1354.3
17,1354.3
18,1354.3
19,1354.3
20,1354.3
21,1354.3
22,1354.3
23,1354.3
24,1354.3
25,1354.3
26,1354.3
27,1354.3
28,1354.3
29,1354.3
30,1354.3
31,1354.3
32,1354.3
33,1354.3
34,1354.3
35,1354.3
36,1354.3
37,1354.3
38,1354.3
39,1354.3
40,1354.3
41,1354.3
42,1354.3
43,1354.3
44,1354.3
45,1354.3
46,1354.3
47,1354.3
48,1354.3
49,1354.3
50,1354.3
51,1354.3
52,1354.3
53,1354.3
54,1354.3
55,1354.3
56,1354.3
57,1354.3
58,1354.3
59,1354.3
60,1354.3
61,1623.73486020394
62,1623.73486020394
63,1623.73486020394
64,1623.73486020394
65,1623.73486020394
66,1623.73486020394
67,1623.73486020394
68,1623.73486020394
69,1623.73486020394
70,1623.73486020394
71,1623.73486020394
72,1623.73486020394
73,2324.90538309892
74,2324.90538309892
75,2324.90538309892
76,2324.90538309892
77,2324.90538309892
78,2324.90538309892
79,2324.90538309892
80,2324.90538309892
81,2324.90538309892
82,2324.90538309892
83,2324.90538309892
84,2324.90538309892
85,1927.17174040549
86,1927.17174040549
87,1927.17174040549
88,1927.17174040549
89,1927.17174040549
90,1927.17174040549
91,1927.17174040549
92,1927.17174040549
93,1927.17174040549
94,1927.17174040549
95,1927.17174040549
96,1927.17174040549
97,1354.3
98,1354.3
99,1354.3
100,1354.3
101,1354.3
102,1354.3
103,1354.3
104,1354.3
105,1354.3
106,1354.3
107,1354.3
108,1354.3
109,1354.3
110,1354.3
111,1354.3
112,1354.3
113,1354.3
114,1354.3
115,1354.3
116,1354.3
117,1354.3
118,1354.3
119,1354.3
120,1354.3
121,1354.3
122,1354.3
123,1354.3
124,1354.3
125,1354.3
126,1354.3
127,1354.3
128,1354.3
129,1354.3
130,1354.3
131,1354.3
132,1354.3
133,1354.3
134,1354.3
135,1354.3
136,1354.3
137,1354.3
138,1354.3
139,1354.3
140,1354.3
141,1354.3
142,1354.3
143,1354.3
144,1354.3
145,1354.3
146,1354.3
147,1354.3
148,1354.3
149,1354.3
150,1354.3
151,1354.3
152,1354.3
153,1354.3
154,1354.3
155,1354.3
156,1354.3
157,1354.3
158,1354.3
159,1354.3
160,1354.3
161,1354.3
162,1354.3
163,1354.3
164,1354.3
165,1354.3
166,1354.3
167,1354.3
168,1354.3
169,1354.3
170,1354.3
171,1354.3
172,1354.3
173,1354.3
174,1354.3
175,1354.3
176,1354.3
177,1354.3
178,1354.3
179,1354.3
180,1354.3
181,1354.3
182,1354.3
183,1354.3
184,1354.3
185,1354.3
186,1354.3
187,1354.3
188,1354.3
189,1354.3
190,1354.3
191,1354.3
192,1354.3
193,1354.3
194,1354.3
195,1354.3
196,1354.3
197,1354.3
198,1354.3
199,1354.3
200,1354.3
201,1354.3
202,1354.3
203,1354.3
204,1354.3
205,1354.3
206,1354.3
207,1354.3
208,1354.3
209,1354.3
210,1354.3
211,1354.3
212,1354.3
213,1354.3
214,1354.3
215,1354.3
216,1354.3
217,2173.45089394377
218,2173.45089394377
219,2173.45089394377
220,2173.45089394377
221,2173.45089394377
222,2173.45089394377
223,2173.45089394377
224,2173.45089394377
225,2173.45089394377
226,2173.45089394377
227,2173.45089394377
228,2173.45089394377
229,1354.3
230,1354.3
231,1354.3
232,1354.3
233,1354.3
234,1354.3
235,1354.3
236,1354.3
237,1354.3
238,1354.3
239,1354.3
240,1354.3
241,1354.3
242,1354.3
243,1354.3
244,1354.3
245,1354.3
246,1354.3
247,1354.3
248,1354.3
249,1354.3
250,1354.3
251,1354.3
252,1354.3
253,1354.3
254,1354.3
255,1354.3
256,1354.3
257,1354.3
258,1354.3
259,1354.3
260,1354.3
261,1354.3
262,1354.3
263,1354.3
264,1354.3
265,1354.3
266,1354.3
267,1354.3
268,1354.3
269,1354.3
270,1354.3
271,1354.3
272,1354.3
273,1354.3
274,1354.3
275,1354.3
276,1354.3
277,1354.3
278,1354.3
279,1354.3
280,1354.3
281,1354.3
282,1354.3
283,1354.3
284,1354.3
285,1354.3
286,1354.3
287,1354.3
288,1354.3
