Slot,wind0,wind1,wind2,wind4,wind5,wind6,wind7,wind8,wind9,wind10,wind11,wind18,wind23,wind24,wind35,wind36,wind37,wind38,wind39,wind43,wind44,wind47,wind50,wind51,wind52,wind53,wind54,wind58,wind59,wind60,wind61,wind62,wind72,wind73,wind74,wind75,wind76,wind77,wind78,wind79,wind83,wind84,wind85,wind86,wind87,wind88,wind89,wind90,wind91,wind92,wind93,wind94,wind95,wind96,wind97,wind98,wind99,wind100,wind101,wind104,wind105,wind106,wind107,wind108,wind110,wind111,wind112,wind113,wind117,wind118,wind119,wind125,wind150,wind159,wind160,wind165,wind166,wind167,wind168,wind179,wind180,wind181,wind204,wind205,wind209,wind210,wind241,solar109,solar21,solar22,solar286,solar287,solar288,solar289,solar290,solar291,solar3,solar362,solar363,solar364,solar365,solar433,solar434,solar435,solar436,solar437,solar438,solar509,solar530
1,5.10623646303524,2.98895067625923,2.42877737216544,17.381915650603,4.35603110590351,10.8208610763253,81.2892646236041,7.8412036784938,0.104773094559162,32.2922247511601,11.6824209313282,10.4406885518427,12.4158199875211,4.72565411445497,0.1065440941689,10.0622972241517,21.9305570027699,3.51251474315727,0.829220058277921,15.9925421341183,23.1729756412813,6.34599378800663,9.87239196121667,21.1059560161837,13.2331055273946,3.75613002505284,64.5482182874863,5.96371955767776,1.06298053400534,8.45069524533369,0.533962802494439,8.00944203741659,14.4862987174122,96.4315721637172,1.25932854438697,86.7521236255034,30.704617460329,130.063478731372,22.9539931612471,35.4884732343388,40.9221150692884,105.569666172342,105.569666172342,105.569666172342,27.1541344095861,27.1541344095861,27.1541344095861,27.1541344095861,13.6678732322322,9.95646823924918,48.7822459659001,56.9154183281622,44.7511670206776,1.31734242096945,16.6124754778989,22.1499673039531,130.063478731372,0.683337856149689,24.7281575863438,12.9822827328459,12.2632985057113,12.2632985057113,11.0818041980785,21.1081984725682,33.4508575462327,4.53277693278191,21.4809973874223,46.8145681670983,3.39790389331165,3.07199163582646,128.26317969521,115.690917466111,111.471461873164,119.610504874498,161.589323764362,127.881444040902,93.5529301089996,123.914979876249,119.39046719908,116.616444806417,55.9762925770917,63.52023274226,35.6053700596741,81.5779667425382,79.4932731684801,94.9056178813461,54.382077362707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4.97943539728917,2.97333526697525,2.32256019339962,17.2911059462615,4.24785958063041,10.7643288037196,82.0071181706684,7.80023826354052,0.0764429372732522,32.7010599293428,11.8303260285925,11.8244465310928,12.3509550460221,4.51898813773241,0.0777350668284973,10.0097279760861,22.1242225280303,3.85636621828229,0.910395102677677,15.867643969169,22.9919999021818,6.29643300073157,9.56492470159196,21.4444131733133,13.0202352725719,3.77703281748473,62.4852391660973,5.86778602951766,1.05467889459517,8.38469721202895,0.53883985602057,8.08259784030855,14.3731639755338,95.730947389485,1.12635061123705,86.6601084534066,29.4659061936477,130.962534168679,23.771295842723,33.8869951026066,39.0754345441871,103.809097363567,103.809097363567,103.809097363567,26.5890835332815,26.5890835332815,26.5890835332815,26.5890835332815,13.0510870452322,9.78198529548651,49.4227300154851,58.0137979339126,46.0927242685049,0.998529630397429,16.9338819524204,22.5785092698643,130.962534168679,0.517961834429247,25.15350498899,13.2055901192198,12.008111304255,12.008111304255,11.4763842706541,21.8597795631886,31.9413303120361,4.05414146418915,20.5116305922646,46.1802406801897,3.03910456426686,2.74760678788174,129.275777061282,118.548279337923,111.424667013266,120.554792101058,162.806091378225,128.891027725322,93.2385282095384,123.862961323608,120.71704333019,119.496665572662,57.0133144671198,64.4435211668403,35.9553329532292,82.2143278737505,81.1866511510055,95.9364416705097,55.6857688332801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.81617538951563,2.97566170478642,2.22277740700421,17.304635090838,4.10858564034504,10.7727511776646,81.7152792234038,7.80634143309182,0.0644593998982477,32.7540995091656,11.8495142605184,13.3726708866625,12.360618849913,4.32484151050038,0.0655489694345834,10.0175599249123,22.0454889991568,4.21927186238511,0.996068377055666,16.3114976419121,23.6351378260767,6.47255838630792,9.49763877714094,21.9506629811173,13.1331594816727,3.81911345225338,60.0103940216909,5.91867720641083,1.08418063422484,8.61923604206352,0.540394243118909,8.1059136467792,14.7752136832154,93.3428073088079,1.00329244617901,85.9598877607253,27.3901519815415,131.576617871427,24.0880392202016,31.6959338138895,36.5488997566596,102.405970956294,102.405970956294,102.405970956294,26.3211733799636,26.3211733799636,26.3211733799636,26.3211733799636,12.2072314152484,9.87848927814511,49.4021644715782,58.9089572303539,46.968207479225,0.75192786400086,17.0271833675539,22.7029111567385,131.576617871427,0.390043443820465,25.4435858383499,13.3578825651381,11.8871182306876,11.8871182306876,11.6293026786305,22.1510527211206,29.8760715853285,3.61121081320978,19.1853920271402,45.4388914144685,2.70707062441991,2.44742010867279,129.283500675558,120.523847904169,111.573448038322,120.561994677276,162.58934384558,128.898728351778,92.6473445498637,124.028350719182,122.031206137411,121.488038687814,58.1142430921617,65.1419144429095,35.8085842458011,82.8656619464445,81.7702216794342,95.9618428828968,58.0815135190493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4.55160078588031,3.01357928770507,2.07533410514492,17.5251406459125,3.88288218700869,10.9100237330112,80.6858390642843,7.90581429926451,0.0791859618651804,32.1102787179713,11.6165979611235,14.4326762293668,12.5181249230159,4.03796217192775,0.0805244572885384,10.1452094015441,21.7677623374532,4.47755612962564,1.05704306636007,16.0243585264706,23.2190771603146,6.35861883702404,9.34206488245021,22.594699557896,13.3632555349705,3.86642360047126,58.8474061607636,6.02237382774161,1.06509528258728,8.46750749653805,0.543359090414026,8.15038635620599,14.5151185110378,90.4646242042245,0.952216826462947,84.2187175837505,24.7860315660916,130.586769520835,23.7997475231985,29.3277615246597,33.8181364949909,100.646040330096,100.646040330096,100.646040330096,26.2169543900905,26.2169543900905,26.2169543900905,26.2169543900905,11.2951640398684,9.631182904343,49.5499813210455,59.0042576861263,47.0394366239748,0.715144858888987,16.9118003361735,22.5490671149273,130.586769520835,0.370963196000044,25.0571803245465,13.1550196704001,11.8400510487999,11.8400510487999,11.49012026635,21.8859433645474,27.6438709107965,3.42737126482778,17.7519490491621,44.2357433579142,2.5692590518557,2.32282682659178,127.479013666708,120.683424589457,111.049198032484,118.879238935046,161.108337818618,127.099611840091,91.8740602532419,123.445578880165,122.275986756477,121.648891986651,57.8679099850299,64.8607005857863,35.2884692802408,82.887067785494,81.5329304163781,94.6967505290001,61.356850786857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.28720087978238,3.05315609499835,1.95708401275128,17.755295238867,3.65732776474908,11.0533031577713,79.9213114591571,8.00963996940022,0.0723822149867068,31.3709953983752,11.3491459972764,14.8548415557182,12.6825232582196,3.80788384443909,0.0736057053782922,10.2784446540424,21.5615048900507,4.61936240712096,1.09052011010333,14.5123746831288,21.028233173314,5.75864917637257,9.12636539684139,23.3251887259323,13.8235425142184,3.86712282645653,58.6448722395062,6.22980982642132,0.964597851986081,7.66855292330675,0.558091419178807,8.37137128768211,13.1455395269039,88.9301217938679,0.914745866251779,83.2149174474251,23.0515911721695,129.259587474686,23.3365530695997,27.7348489282477,31.9813329746321,99.3343336711116,99.3343336711116,99.3343336711116,26.7120113851534,26.7120113851534,26.7120113851534,26.7120113851534,10.6816767451247,9.02050967777547,50.0444622168747,58.8821248420966,46.0955319628614,0.72587893859789,17.0264421147313,22.7019228195837,129.259587474686,0.376531226679412,24.6128488097705,12.9217456251208,12.0636277467746,12.0636277467746,11.2664977270235,21.4599956704589,26.1424174108317,3.29249978520692,16.7877669302348,42.8790991224556,2.4681553945385,2.23142059517068,125.518762633,120.206915943185,110.29800650811,117.051227058216,159.7649795202,125.145194886465,92.1154132831178,122.610532123136,121.872367873819,121.168571271287,57.3550510386516,64.1780755072194,34.992284119387,82.3974389184738,81.4658220020531,93.608906272642,64.3714949924001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4.23049469110702,3.07527058468243,1.81950110620272,17.8838996341335,3.60895281706261,11.1333639705516,79.9398055972326,8.0676550511481,0.0553102827479643,30.5500405300739,11.0521475584587,15.0405735186139,12.7743847684322,3.54018980385607,0.0562452030113767,10.3528930449279,21.5664943158274,5.23585571465971,1.23605931883915,12.6864329770317,18.3824685210954,5.03409803078205,8.86610628722899,23.7718907980205,14.7712471663653,3.82846337347614,58.1084301187389,6.6569087229845,0.843232500968515,6.70369838270375,0.572740454070095,8.59110681105142,11.4915725232005,88.3108816988135,0.845909203138864,82.8060445197592,21.5567127806747,128.0110429832,22.524641042277,26.7958639740987,30.8985799892886,98.6032511657421,98.6032511657421,98.6032511657421,27.6609226768872,27.6609226768872,27.6609226768872,27.6609226768872,10.3200402431913,8.42495717099203,49.8420632929311,58.9537527675871,44.6834133476639,0.725416944014012,17.1886537824648,22.9182050432864,128.0110429832,0.376291578746497,24.3646427326485,12.7914374346254,12.4921732585287,12.4921732585287,10.8745201721641,20.7133717564703,25.2573454684348,3.04473184563944,16.2194039800066,41.6065410850258,2.28242120577026,2.06350122713423,123.572174515279,119.739135405277,109.675552819334,115.23595639335,157.57733699129,123.204400186864,92.7827611187307,121.918594159601,121.682990405109,120.697048488685,56.5926865652244,62.9321845306853,34.6246888540863,81.1198847989934,80.6601728659015,92.574758378579,66.5629183686448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,4.29111917303514,3.05270129160724,1.69131277638856,17.7526503794195,3.66067038458031,11.0516566386578,80.4079358022635,8.00844683962426,0.0666799486439182,29.9804725406495,10.8460938395571,15.2070067697302,12.6806340477112,3.29077472154974,0.0678070525394528,10.2769135591929,21.6927884358354,6.43214808463446,1.51847510960013,11.6524607516825,16.8842568551625,4.62380795529257,8.82300896957051,23.5219570141043,15.2190451126856,3.74556614730943,57.5318061014375,6.85871633079375,0.774507195191135,6.15733220177486,0.580780134873912,8.71170202312575,10.5549840560884,88.5283916315123,0.757498955300065,82.5679091510338,20.5192207031898,126.865921545464,21.2867963996658,25.9388052263431,29.910296935614,98.1919072793557,98.1919072793557,98.1919072793557,28.492514707734,28.492514707734,28.492514707734,28.492514707734,9.98995643709416,7.96191748483799,49.2768832953462,58.8081746101661,43.3782739999575,0.698690884308038,17.1367948344768,22.8490597793309,126.865921545464,0.362428115419525,23.9588704206613,12.5784069708408,12.8677352688617,12.8677352688617,10.2769094705558,19.5750656582868,24.4494958353133,2.72651152592204,15.7006305574249,40.3407906354634,2.0438738253513,1.84783428057787,122.103220499043,118.655106625151,109.643573251024,113.866098481125,155.980307362093,121.739818056612,92.9415652058176,121.8830447244,120.867390385321,119.604347477995,56.1350860049032,61.6579296775415,34.0050438358995,79.9459158431785,79.7455186662732,91.6277302377451,67.6795034999154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4.54877011354389,3.00653462452072,1.57621602598604,17.4841731778656,3.88046739543876,10.8845200262171,80.0064932384331,7.8873333523219,0.0810479410732681,29.3062561177468,10.6021812533932,15.2955453524726,12.4888620547917,3.06683182816634,0.0824179098865272,10.1214935552102,21.5844855859183,7.19795027662637,1.69926254672183,11.0932652493163,16.0739901917334,4.401913827739,8.95204668895458,23.0813426573253,14.6902823662181,3.62884734263162,56.2573988167851,6.62042058636759,0.737338999621692,5.86184504699394,0.580729936371063,8.71094904553626,10.048455886849,89.9602531261002,0.715672977197639,82.1945968946953,19.6314899384757,125.992731942574,20.2898275629167,25.0707957032707,28.9093864330311,97.5204967398327,97.5204967398327,97.5204967398327,29.4538603625231,29.4538603625231,29.4538603625231,29.4538603625231,9.65565509796594,7.39969795471759,49.4785549511819,58.8599384285967,42.513491779246,0.70787584374993,16.8594391350551,22.4792521800169,125.992731942574,0.367192579383881,23.6070005572755,12.3936752925209,13.3018963640081,13.3018963640081,9.79558958156218,18.6582658696099,23.6313241796529,2.5759647686199,15.1752286847159,39.1884396654077,1.93101951543864,1.74580446837108,121.160293628394,116.655112730074,109.723815326246,112.986781756634,156.47309287127,120.79969751618,92.7965372318936,121.972244192859,119.246311349193,117.58835363186,55.818637067452,61.1430109439744,33.9768954427985,79.7233430227184,80.0382576022288,91.1749156487657,67.3414095671509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4.76844199741269,2.98323588237821,1.43999571842403,17.3486818920193,4.06786521105982,10.8001718789009,78.7515810296416,7.82621150644338,0.0591752055568822,28.638805616985,10.3607163880879,15.472506125072,12.3920812712426,2.8017889863271,0.0601754553479782,10.0430583805283,21.2459301339325,7.34487568958407,1.73394809494172,10.5329478919954,15.2620979758632,4.17957453741223,9.03160575798837,23.1512805967059,13.6185783159298,3.54324436841723,55.0181248747413,6.13743929439454,0.700096237423563,5.56576508751622,0.576182557578138,8.64273836367207,9.54091152360119,92.2528507360068,0.71411374948141,82.3788989837447,18.8002411736017,125.881065088464,19.9607511782118,24.4748250590273,28.2221666948865,96.9089813191755,96.9089813191755,96.9089813191755,30.6817529221341,30.6817529221341,30.6817529221341,30.6817529221341,9.42612560651201,6.89547448327821,50.5488745991299,59.3319287246051,41.6948676025844,0.757743693909462,16.6661487619528,22.2215316825472,125.881065088464,0.393060257579456,23.3635079682857,12.2658416834009,13.8564348650143,13.8564348650143,9.63671700390953,18.3556514359696,23.0695719455907,2.57035254656699,14.81449060029,38.0459154760147,1.92681242750511,1.74200090612809,121.063387545022,115.25543618842,109.673751239725,112.896412988336,158.141715279177,120.703079843492,93.3997941776118,121.916591471298,118.0359788305,116.177479678329,55.5739187056596,61.4159775692439,34.3938993744881,80.6936147906587,81.2670665576878,91.3754957157705,67.3871456637161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4.78972579190774,2.89956018727763,1.28771591726915,16.8620750416572,4.08602200257536,10.4972417973417,75.527216078071,7.60669695458709,0.042279143823633,27.4381838442061,9.92636511513206,14.9836412558494,12.0445003038301,2.50549930694746,0.0429937962591908,9.76136429934342,20.3760475030761,6.83086353173967,1.6126022152387,9.66274346319192,14.001183615619,3.83426909106963,8.58575824857023,23.3480324625568,12.4098413533688,3.46289839457713,53.411504303829,5.59270183657708,0.64225612915714,5.10593622680176,0.564356311947422,8.46534467919467,8.75266652814877,91.9256144840605,0.734935977078549,81.5377544608145,17.8540648937359,123.131839272365,19.1439146180874,23.3927584479131,26.9744248131841,94.594715637349,94.594715637349,94.594715637349,31.3151524437543,31.3151524437543,31.3151524437543,31.3151524437543,9.0093832695823,6.76651079835336,50.3960021960226,58.5484518375173,39.6134804155817,0.887875580117064,16.2667324576242,21.6889766101101,123.131839272365,0.460562861852566,22.475048435839,11.7994004287988,14.1424895515481,14.1424895515481,9.24236196692776,17.6044989846362,22.0496335610094,2.64529924206497,14.1595210305274,36.4383810530648,1.9829946910887,1.79279440978436,118.47028452693,111.586227050761,107.871495874003,110.47824152261,155.962397559358,118.117694393712,91.9261512737712,119.91315100631,114.377846195311,112.478916867727,54.5499495883385,60.5270813777746,33.7617394370512,79.833396562514,78.7631641956158,89.4233496959104,66.5340342812938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
